Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Homepage,1000,639,550,1038,1337,1615,362,1813,0.000%,89.83112,437.32,21.76
Reserve Page,1000,635,521,1080,1401,1653,355,1767,0.000%,90.60433,661.39,22.30
Purchase Page,1000,631,522,1075,1317,1636,360,1850,0.000%,89.87956,609.67,22.29
TOTAL,3000,635,530,1062,1346,1636,355,1850,0.000%,250.16678,1580.32,61.40
