Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Homepage,200,410,392,473,549,670,353,727,0.000%,14.96670,72.86,3.62
Reserve Page,200,399,392,427,449,522,358,547,0.000%,15.05231,109.88,3.70
Purchase Page,200,405,398,447,473,517,363,529,0.000%,15.16300,102.86,3.76
TOTAL,600,405,393,441,492,600,353,727,0.000%,42.38785,267.78,10.40
