Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Homepage,20,415,396,451,487,725,361,725,0.000%,1.63399,7.96,0.40
Reserve Page,20,404,398,416,451,552,369,552,0.000%,1.68237,12.28,0.41
Purchase Page,20,404,392,427,439,498,377,498,0.000%,1.69005,11.47,0.42
TOTAL,60,408,397,439,487,552,361,725,0.000%,4.57561,28.91,1.12
