Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Homepage,20,583,546,716,718,1048,387,1048,0.000%,.92298,4.49,0.22
Reserve Page,20,846,530,863,885,5951,478,5951,0.000%,.92997,6.79,0.23
Purchase Page,20,592,530,753,951,1074,406,1074,0.000%,.92370,6.27,0.23
TOTAL,60,674,531,753,951,1074,387,5951,0.000%,2.57787,16.28,0.63
