Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Homepage,1000,958,672,1877,2398,4053,362,4361,0.000%,47.84231,232.90,11.59
Reserve Page,1000,1051,711,2139,2922,3943,360,4492,0.000%,47.03005,343.31,11.57
Purchase Page,1000,994,655,2114,2718,4093,360,4451,0.000%,46.75956,317.18,11.60
TOTAL,3000,1001,681,2024,2718,4031,360,4492,0.000%,133.44602,842.99,32.75
