Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Homepage,200,727,558,1186,1723,2749,363,3203,0.000%,7.07264,34.43,1.71
Reserve Page,200,775,538,1583,2482,2934,370,3083,0.000%,7.05368,51.49,1.74
Purchase Page,200,755,539,1470,2352,3084,373,3227,0.000%,7.07464,47.99,1.75
TOTAL,600,753,547,1316,2311,2953,363,3227,0.000%,20.12140,127.11,4.94
