Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Homepage,1000,1023,708,1865,2587,4905,366,5699,0.000%,39.20646,190.86,9.50
Reserve Page,1000,1023,670,1987,2772,4976,362,5565,0.000%,39.28347,286.76,9.67
Purchase Page,1000,992,628,1935,2949,4907,357,5649,0.000%,38.77773,263.04,9.62
TOTAL,3000,1013,673,1927,2750,4954,357,5699,0.000%,111.94030,707.13,27.47
