Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Homepage,200,706,530,1198,1819,3378,345,3697,0.000%,7.87216,38.32,1.91
Reserve Page,200,630,527,889,1224,2473,356,3223,0.000%,7.31288,53.38,1.80
Purchase Page,200,712,531,1114,2066,3159,365,3359,0.000%,7.37300,50.01,1.83
TOTAL,600,683,530,1029,1717,3184,345,3697,0.000%,21.25097,134.24,5.22
